T,P,DD,Td,result
30.1,758.5,Wind blowing from the east-southeast,24.7,2 m/s (Light breeze)
30.8,757.3,Wind blowing from the south-southeast,24.3,3 m/s (Gentle breeze)
33.7,755.0,Wind blowing from the south-east,23.2,3 m/s (Gentle breeze)
36.0,756.4,Wind blowing from the east-southeast,22.9,3 m/s (Gentle breeze)
33.2,758.6,Wind blowing from the south-east,24.6,3 m/s (Gentle breeze)
29.2,758.6,Wind blowing from the south-east,24.0,2 m/s (Light breeze)
28.8,757.5,Wind blowing from the south,24.7,2 m/s (Light breeze)
29.4,757.3,Wind blowing from the south-east,24.5,2 m/s (Light breeze)
30.0,758.3,Wind blowing from the south-southeast,24.6,3 m/s (Gentle breeze)
31.4,757.0,Wind blowing from the south-east,23.2,3 m/s (Gentle breeze)
32.6,755.4,Wind blowing from the south-east,23.0,3 m/s (Gentle breeze)
36.0,756.1,Wind blowing from the south-east,21.6,3 m/s (Gentle breeze)
34.2,758.1,Wind blowing from the south-east,23.0,3 m/s (Gentle breeze)
29.0,758.5,Wind blowing from the south,24.4,2 m/s (Light breeze)
27.9,757.3,Wind blowing from the east-southeast,25.1,2 m/s (Light breeze)
29.0,757.5,Wind blowing from the south-east,25.2,2 m/s (Light breeze)
30.4,758.2,Wind blowing from the south-southeast,25.0,3 m/s (Gentle breeze)
31.4,757.0,Wind blowing from the north,24.1,2 m/s (Light breeze)
33.4,755.4,Wind blowing from the east,21.1,3 m/s (Gentle breeze)
35.6,756.4,Wind blowing from the south-southeast,19.4,3 m/s (Gentle breeze)
31.8,758.6,Wind blowing from the north-east,24.8,2 m/s (Light breeze)
28.0,759.2,Wind blowing from the west-southwest,23.3,2 m/s (Light breeze)
26.6,758.0,Wind blowing from the north-west,23.3,1 m/s (Light air)
28.0,758.5,Wind blowing from the south-southeast,24.6,2 m/s (Light breeze)
29.6,759.0,Wind blowing from the south-southeast,23.6,3 m/s (Gentle breeze)
31.0,757.5,Wind blowing from the east,23.5,2 m/s (Light breeze)
33.6,756.2,Wind blowing from the south-east,20.0,3 m/s (Gentle breeze)
36.2,757.6,Wind blowing from the south-southeast,18.4,4 m/s (Moderate breeze)
32.6,759.9,Wind blowing from the east,23.0,3 m/s (Gentle breeze)
28.0,759.8,Wind blowing from the west-southwest,21.8,3 m/s (Gentle breeze)
26.8,758.1,Wind blowing from the west,22.9,2 m/s (Light breeze)
28.5,758.1,Wind blowing from the south-southeast,24.9,2 m/s (Light breeze)
29.5,759.1,Wind blowing from the south-southeast,24.9,2 m/s (Light breeze)
30.4,757.8,Wind blowing from the south-east,24.2,3 m/s (Gentle breeze)
